"","mit_sku","year","month","mfg","unit_sale","cost","conductor","phase","kva","p_volt","s_volt","date","weeks_time"
"1","MIT-DRY-168",2021,10,"hps",13225,9938.73,"AL","3",300,"600D","480Y",2021-10-01,174
"2","MIT-DRY-204",2020,10,"mgm",12975,9798,"AL","3",500,"480Y","208Y",2020-10-01,121.9
"3","MIT-DRY-204",2021,2,"mgm",15574,9798,"AL","3",500,"480Y","208Y",2021-02-01,139.4
"4","MIT-DRY-184",2021,5,"hps",11845,9641.4,"AL","3",500,"480D","480Y",2021-05-01,152.1
"5","MIT-DRY-206",2021,11,"hps",10874,9544.1,"AL","3",300,"480D","380x400x416Y",2021-11-01,178.4
"6","MIT-DRY-206",2021,9,"hps",10874,9544.1,"AL","3",300,"480D","380x400x416Y",2021-09-01,169.7
"7","MIT-DRY-186",2018,10,"hps",10786,9168.36,"AL","3",500,"208D","480Y",2018-10-01,17.4
"8","MIT-DRY-184",2020,8,"hps",11267,9010.63,"AL","3",500,"480D","480Y",2020-08-01,113.1
"9","MIT-DRY-184",2019,9,"hps",10645,9010.63,"AL","3",500,"480D","480Y",2019-09-01,65.3
"10","MIT-DRY-186",2019,7,"hps",13000,9010.63,"AL","3",500,"208D","480Y",2019-07-01,56.4
"11","MIT-DRY-186",2019,11,"hps",11406,8830,"AL","3",500,"208D","480Y",2019-11-01,74
"12","MIT-DRY-195",2021,7,"mgm",12717,7929,"AL","3",500,"240D","480Y",2021-07-01,160.9
"13","MIT-DRY-195",2022,1,"mgm",14416,7929,"AL","3",500,"240D","480Y",2022-01-01,187.1
"14","MIT-DRY-205",2022,2,"hps",9260,7718.13,"AL","3",225,"480D","380x400x416Y",2022-02-01,191.6
"15","MIT-DRY-205",2021,11,"hps",9044,7718.13,"AL","3",225,"480D","380x400x416Y",2021-11-01,178.4
"16","MIT-DRY-205",2022,2,"hps",9500,7718.13,"AL","3",225,"480D","380x400x416Y",2022-02-01,191.6
"17","MIT-DRY-186",2019,12,"mgm",10500,7677.251252,"AL","3",500,"208D","480Y",2019-12-01,78.3
"18","MIT-DRY-195",2021,2,"mgm",10950,7653,"AL","3",500,"240D","480Y",2021-02-01,139.4
"19","MIT-DRY-186",2020,3,"mgm",11406,7653,"AL","3",500,"208D","480Y",2020-03-01,91.3
"20","MIT-DRY-195",2021,3,"mgm",10950,7653,"AL","3",500,"240D","480Y",2021-03-01,143.4
"21","MIT-DRY-204",2020,8,"mgm",15074,7609.302786,"AL","3",500,"480Y","208Y",2020-08-01,113.1
"22","MIT-DRY-204",2020,9,"mgm",15074,7609.302786,"AL","3",500,"480Y","208Y",2020-09-01,117.6
"23","MIT-DIT-116",2022,2,"hps",9548,7537.7,"AL","3",330,"480D","480Y",2022-02-01,191.6
"24","MIT-DIT-116",2022,3,"hps",10050,7537.7,"AL","3",330,"480D","480Y",2022-03-01,195.6
"25","MIT-DRY-203",2022,1,"mgm",13500,7142,"AL","3",300,"480Y","208Y",2022-01-01,187.1
"26","MIT-DRY-203",2021,12,"mgm",11075,7142,"AL","3",300,"480Y","208Y",2021-12-01,182.7
"27","MIT-DRY-186",2019,7,"jeff",10247,7021,"AL","3",500,"208D","480Y",2019-07-01,56.4
"28","MIT-DRY-203",2021,6,"mgm",9500,6894,"AL","3",300,"480Y","208Y",2021-06-01,156.6
"29","MIT-DRY-168",2021,1,"hps",8100,6862.32,"AL","3",300,"600D","480Y",2021-01-01,135
"30","MIT-DRY-168",2019,10,"hps",7800,6862.32,"AL","3",300,"600D","480Y",2019-10-01,69.6
"31","MIT-DRY-203",2021,11,"mgm",11800,6856,"AL","3",300,"480Y","208Y",2021-11-01,178.4
"32","MIT-DRY-203",2021,12,"mgm",11660,6856,"AL","3",300,"480Y","208Y",2021-12-01,182.7
"33","MIT-DRY-203",2021,12,"mgm",11557,6856,"AL","3",300,"480Y","208Y",2021-12-01,182.7
"34","MIT-DRY-203",2022,1,"mgm",12535,6856,"AL","3",300,"480Y","208Y",2022-01-01,187.1
"35","MIT-DRY-206",2021,7,"mgm",10874,6844,"AL","3",300,"480D","380x400x416Y",2021-07-01,160.9
"36","MIT-DRY-206",2021,10,"mgm",10874,6844,"AL","3",300,"480D","380x400x416Y",2021-10-01,174
"37","MIT-DRY-206",2022,2,"mgm",17353,6844,"AL","3",300,"480D","380x400x416Y",2022-02-01,191.6
"38","MIT-DRY-206",2021,12,"mgm",17553,6844,"AL","3",300,"480D","380x400x416Y",2021-12-01,182.7
"39","MIT-DRY-108",2019,4,"jeff",8086,6711.26,"AL","3",500,"480D","208Y",2019-04-01,43.4
"40","MIT-DRY-206",2021,8,"mgm",12082,6661.33333333333,"AL","3",300,"480D","380x400x416Y",2021-08-01,165.3
"41","MIT-DRY-206",2021,4,"mgm",10800,6606,"AL","3",300,"480D","380x400x416Y",2021-04-01,147.9
"42","MIT-DRY-206",2021,1,"mgm",10163,6606,"AL","3",300,"480D","380x400x416Y",2021-01-01,135
"43","MIT-DRY-177",2020,3,"hps",7150,6417.04,"AL","3",300,"600D","208Y",2020-03-01,91.3
"44","MIT-DRY-177",2019,4,"hps",7640,6417.04,"AL","3",300,"600D","208Y",2019-04-01,43.4
"45","MIT-DRY-203",2020,12,"mgm",10556.6,6413,"AL","3",300,"480Y","208Y",2020-12-01,130.6
"46","MIT-DRY-203",2020,7,"mgm",9866,6413,"AL","3",300,"480Y","208Y",2020-07-01,108.7
